posicion,planitud_local_dB,desvio_vs_promedio_dB
Sweet Spot,9.5455,5.1526
Mic 1,14.5538,5.5493
Mic 2,8.8201,3.7076
Mic 3,12.1466,5.5363
Mic 4,8.7786,2.7302
Mic 5,13.4661,5.4291
Mic 6,11.4250,2.4154
CONJUNTO,10.2379,3.9282
