posicion,planitud_local_dB,desvio_vs_promedio_dB
Sweet Spot,11.0130,6.7278
Mic 1,12.7036,3.2038
Mic 2,11.0431,3.2612
Mic 3,14.7421,6.3584
Mic 4,10.1771,3.2841
Mic 5,11.0641,2.2607
Mic 6,16.6665,6.0711
CONJUNTO,11.7271,4.0896
